record_type,form_id_number,eain_id,election_authority_id_number,state_issued
E,9714008,30333,520663,MI
E,9714013,30334,830002,CA
E,9714020,30335,1447800,CA
E,9714022,30337,21885,OR
E,9714023,30338,22112,OR
E,9714025,30339,831628,CA
E,9714028,30340,1258324,CA
E,9714029,30341,1357445,CA
E,9714034,30342,520851,MI
E,9714035,30456,520183,MI
E,9714037,30344,79777,FL
E,9714038,30345,1337894,CA
E,9714041,30346,00086778,TX
E,9714046,30347,C190927,MO
E,9714047,30348,A00985,NY
E,9714062,30349,00086783,TX
E,9714066,30350,1447802,CA
E,9714070,30351,2614403,IL
E,9714094,30352,1311960,CA
E,9714095,30353,1273063,CA
E,9714110,30354,520409,MI
E,9714133,30356,520858,MI
E,9714139,30357,00086743,TX
E,9714151,30358,TAYLG-521,WA
E,9714158,30359,PENDING,CA
E,9714165,30360,1447847,CA
E,9714169,31019,1403899,CA
E,9714176,31020,37422,IL
E,9714186,30363,1345010,CA
E,9714187,30364,81-0769236,SC
E,9714197,30365,1424081,CA
E,9714198,30366,1447844,CA
E,9714199,30367,1447993,CA
E,9714203,30368,1447641,CA
E,9714205,30369,20175033212,CO
E,9714215,30371,PENDING,CA
E,9714218,31021,C00812370,FD
E,9714233,30374,1448002,CA
E,9714240,30375,00086800,TX
E,9714241,30376,00086804,TX
E,9714248,30377,1448072,CA
E,9714258,30378,37422-13,IL
E,9714260,30379,IECNOF220017,DC
E,9714261,30380,1447991,CA
E,9714294,30381,21671,OR
E,9714300,30382,216997,NY
E,9714308,30384,1448127,CA
E,9714324,30386,1447029,CA
E,9714347,30387,C221949,MO
E,9714362,30388,PAC-22-00023,VA
E,9714380,30389,CP1884,OH
E,9714381,30390,20210279,PA
E,9714401,30396,1328933,CA
E,9714403,30397,TBD,NJ
E,9714409,30399,1444466,CA
E,9714417,30400,82157928,MI
E,9714427,30401,940789,CA
E,9714434,30402,1448110,CA
E,9714439,30403,227509,NY
E,9714445,30404,03013910,MD
E,9714454,30406,80529,FL
E,9714458,30407,C221920,MO
E,9714461,30408,PAC-20-00048,VA
E,9714476,30409,1436526,CA
E,9714482,30410,1440808,CA
E,9714529,30413,C00815282,FD
E,9714535,30415,1391323,CA
E,9714540,30416,CA0067722,KY
E,9714545,30417,00086821,TX
E,9714556,30419,10722,OK
E,9714560,30420,60631,FL
E,9714564,30421,C222099,MO
E,9714596,30423,148340,CA
E,9714603,30424,1422623,CA
E,9714614,30425,1448304,CA
E,9714615,30426,1448283,CA
E,9714623,30427,C00557926,FD
E,9714630,30429,20225043161,CO
E,9714640,30431,95487,MA
E,9714641,30432,1448446,CA
E,9714650,30433,02014542,MD
E,9714668,30436,0J0912000111Q20220,NJ
E,9714669,30437,1444200,CA
E,9714676,30438,CCFID13014823,MD
E,9714699,30439,20202,OR
E,9714704,30440,C222103,MO
E,9714727,32150,00015605,TX
E,9714747,30442,862161154,FL
E,9714770,30445,03006026,NH
E,9714777,30446,1328666,CA
E,9714782,30447,301282,NM
E,9714786,30448,21671,OR
E,9714788,30449,01014822,MD
E,9714799,30450,87-4670948,MI
E,9714804,30451,STA-C3945N-C-001,NC
E,9714822,30453,20220361,PA
E,9714824,30454,1343082,CA
E,9714836,30455,87-2125061,CA
E,9714847,30457,C00816447,FD
E,9714877,30461,950352,CA
E,9714878,30462,1275328,CA
E,9714879,30463,95490,MA
E,9714887,30464,H2WA08232,FD
E,9714888,30465,80278,FL
E,9714889,30466,78770,FL
E,9714901,30467,1243711,CA
E,9714902,30468,10924,OK
E,9714903,30469,101111,AZ
E,9714905,30470,1344050,CA
E,9714919,30471,0501776,WI
E,9714930,30472,87-1885468,AZ
E,9714934,30473,80184,MI
E,9714937,30474,79921,FL
E,9714947,30475,C00817148,FD
E,9714952,30476,1277006,CA
E,9714977,30477,81050,FL
E,9714987,30479,C00798405,FD
E,9714993,30481,101122,AZ
E,9714998,30482,79898,FL
E,9715002,30483,227629,NY
E,9715028,30486,WAWIM--507,WA
E,9715032,30490,1448526,CA
E,9715043,30492,744711,CA
E,9715050,30495,C222136,MO
E,9715055,30497,920,FL
E,9715060,30500,1437529,CA
E,9715063,30501,7400007,NC
E,9715064,30502,A06968,NY
E,9715072,30503,10929,OK
E,9715075,30504,1448322,CA
E,9715079,30505,C00670356,FD
E,9715081,30506,WA,WA
E,9715097,30508,1436851,CA
E,9715103,30509,01014828,MD
E,9715104,30510,02014837,MD
E,9715105,30511,FID1037,IL
E,9715112,30512,C222151,MO
E,9715146,30516,C222072,MO
E,9715160,30517,74842,FL
E,9715163,30518,74842,FL
E,9715187,30519,519273-0,MI
E,9715192,30520,7700008,NC
E,9715224,30521,0106634,WI
E,9715228,30522,743486,CA
E,9715231,30523,C222153,MO
E,9715242,30524,10936,OK
E,9715272,30526,60834,FL
E,9715276,30527,C00818591,FD
E,9715280,30528,1447588,CA
E,9715288,30529,100614,AZ
E,9715297,30532,80362,FL
E,9715325,30533,18978,MN
E,9715328,30534,5611,NY
E,9715332,30535,1100103,WI
E,9715333,30536,1312649,CA
E,9715336,30537,21-65,FL
E,9715343,30538,1401346,CA
E,9715344,30539,1449177,CA
E,9715348,30540,991225,CA
E,9715349,30541,1449119,CA
E,9715350,30542,473184,AR
E,9715352,30543,473185,AR
E,9715360,30547,PROGC--578,WA
E,9715369,30548,01014760,MD
E,9715373,30549,101146,AZ
E,9715376,30551,82109,FL
E,9715392,30552,C00790865,FD
E,9715410,30553,418411,KY
E,9715413,30554,79694,FL
E,9715416,30556,101147,AZ
E,9715432,30558,13014854,MD
E,9715452,30559,551,MI
E,9715459,30560,1440210,CA
E,9715459,30561,C00754242,FD
E,9715466,30567,1307656,CA
E,9715468,30568,81083,MA
E,9715488,30575,1343619,CA
E,9715489,30576,901422,CA
E,9715492,30585,17761161,PA
E,9715500,30579,8000144,PA
E,9715519,30582,64950,FL
E,9715520,30583,64950,FL
E,9715542,30586,20140171,PA
E,9715543,30587,101155,AZ
E,9715557,30588,81084,MA
E,9715565,30589,C00819755,FD
E,9715567,30590,C00819763,FD
E,9715568,30591,1412487,CA
E,9715603,30592,37516,IL
E,9715680,30593,1405427,CA
E,9715685,30594,88-3101892,FD
E,9715699,30595,C00786178,FD
E,9715704,30596,C222160,MO
E,9715728,30597,C000653,MO
E,9715758,30599,88-3109226,MN
E,9715851,30600,38325,KY
E,9715858,30601,38840251,TX
E,9715863,30602,38840251,TX
E,9715865,31023,1449437,CA
E,9715871,30604,80489,FL
E,9715905,30605,1055,FL
E,9715957,30606,C222175,MO
E,9716074,30607,PENDING,MO
E,9716126,30612,19-00069,VA
E,9716197,30615,761244,CA
E,9716237,30616,0501777,WI
E,9716285,30617,CTY50206,IA
E,9716313,30619,101171,AZ
E,9716490,30621,520906,MI
E,9716603,30625,Pending,CA
E,9716908,30627,1309647,CA
E,9716927,30628,C00793869,FD
E,9717043,30631,C00540302,FD
E,9717102,30634,11111,NV
E,9717124,30635,2614403,IL
E,9717142,30636,C221843,MO
E,9717183,30637,PENDING,CA
E,9717195,30644,100270,AZ
